

GENERATION: 258| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 259| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 260| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 261| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 262| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 263| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 264| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 265| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 266| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 267| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 268| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 269| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 270| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 271| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 272| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 273| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 274| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 275| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 276| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 277| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 278| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 279| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 280| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 281| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 282| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 283| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 284| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 285| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 286| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 287| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 288| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 289| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 290| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 291| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 292| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 293| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 294| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 295| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 296| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 297| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 298| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 299| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 300| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 301| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 302| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 303| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 304| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 305| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 306| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 307| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 308| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 309| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 310| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 311| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 312| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 313| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 314| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 315| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 316| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 317| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 318| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 319| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 320| FITNESS: -0.13636363636363635| NR: 7

GENERATION: 321| FITNESS: -0.13636363636363635| NR: 7

